pre_text,airline_sentiment
sinceramente rutas internacionales permitieron opere nuevo,neutral
libras aeropuerto llegues aeropuerto libras caro vuelo llama timo,negative
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,positive
trabajadores aeropuerto prat barcelona españa convocan paros cuatro horas d,negative
#nosardinasenlata deberian aprender american airlines asiento delante reclinado pie,positive
favor menos efectuen reembolso billetes pagar hotel comida comun,negative
gustado video https t co s lxeqoaaq vamos pa valencia nano pokemon,neutral
salva navidades in extremis personal tierra suspende paros,negative
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,negative
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
siento guapisima espero solucione :face_blowing_a_kiss:,negative
hace cuatro dias dicen procedian darme indemnizacion aqui sigo esperandola mes agosto vergonzoso,negative
gracias entonces pido informe empleados palmas gran canaria obligado m,negative
reclamacion claramente ahi dice solo dieron pidieron disculpas,negative
simpre placer amigos seguir volando alto,positive
hola compre pasaje jueves cobraron tarjeta todavia no confirmacion ticket desastre,negative
vuelan aprox misma hora vueling menos gala no llegan,negative
ejemplo web web aesa,neutral
air europa lanzan rebajas vuelos europa euros via,neutral
pilotos irlanda alemania italia portugal van huelga justo navidad,neutral
nuevos pilotos no generan mucha confianza,negative
quiero saber si vuelo miercoles fr operado normalidad,negative
exposicion aviacion cierra asistentes,negative
mes sr usted importarle dignidad usuario no dado solucion efectiva,negative
envie codigo vuelo san pablo madrid da codigo xq,positive
black friday hoy desperte mail ofertas vuelos dentro europa :face_screaming_in_fear: :drooling_face: :airplane: ️,neutral
volando historia #expoiberia ubicado,neutral
deberia tomar cartas asunto sistema vinculacion vuelos menores,negative
acabo enviar privado gracias pronta respuesta podria funcionar canal mail,positive
:video_camera: frikiskrew ocurrio hace poquito vuelo londres malaga alli pasajero,neutral
nadie disponible hicieron recoger maletas enviaron mostradores fa,negative
empresa reclama euros cancelaciones retrasos,negative
#lapatilla acabo aniversario express,positive
solicito factura vuelo solo permite indicar numeros b,neutral
busca tecnicos mantenimiento trabajar #madrid #barcelona #empleo,neutral
hermana montado vas sobrevivir,negative
ay llegado correo avisandome hora facturar ay,neutral
sabremos ganadores se dice max dias peor ansias pueden,positive
samsungespana regala galaxy note pasajeros vuelo via,positive
viajen #rusia no hagan despacha mal maletas no llegan destino emiten,negative
año lio vacaciones pilotos,negative
familiares victima incendio col requieren ayuda comprar ataud,neutral
ademas no pagado vuelo voy embutida turista si no puede,negative
ocurre no pueden pedir avios descontar billete hago tra,negative
buenos aires no recibe atencion reclamos barajas central atencion clientes no sabe,negative
escrito privado vuelo aa,neutral
madrid,neutral
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,neutral
decepcion llamado servicio atencion cliente vergonzoso segun atienda,negative
llevo hora esperando telefono :waving_hand: :waving_hand: :waving_hand: :waving_hand: :face_screaming_in_fear:,negative
asi no deja hacerlo web gestion reservas envio dm datos solicitados gracias nuevo,neutral
cada vuelto ofreceis kg equipaje bodega gratis si cabina no cabe haciendo mal,neutral
oficinas oye echame cable traduciendo web significa save guardar,neutral
volara valencia praga bremen lamezia escala milan,negative
aeropuerto palma solo dos mostradores facturar vuelos invierno verano s,negative
sigue rebajas black friday billetes euros #noticias #feedly,negative
noticias d explican mejor pq llevamos dos años siendo incapaces d conseguir d financiacion d deuda emision,negative
hola dejo signos exclamacion copiar pegar escribais español fe,neutral
captura exterior bac desmpolvado hoy flight simulator despues tiempo librea,neutral
regalando billetes gratis mundo despues cancelacion vuelos,positive
diria aunque faltan varias probar,neutral
pasa avianca pasa american pasa pasa lufthansa pasa t,negative
asi accidente vuelo spanair letal españa decadas #video,negative
si tarjeta plus si siii disculpe embarco minutos,neutral
gracias tres horas mierda,negative
buenas noticias noticias mencione felicito no correcto,negative
#ryanairinflight pues oye :face_with_rolling_eyes:,neutral
compañias siguen haciendo overbooking da gana mirar nunca usuario,negative
aerolinea estrellas une buenos aires madrid vuelos directos via,negative
costas griegas libias almerienses quien vuelas,neutral
anuncia nueva ruta sevilla copenhague operara marzo,negative
#tipicodenavidad perdio maleta hace dias no saben donde medicamentos n,negative
peor compañia tratar vida ojala fundan lam,negative
promoviendo dlc s cuando sacaran season pass,neutral
express celebra cinco años oferta plazas solo euros,positive
pues digas paco lleva vuelos encima superlopez dice favor :thumbs_down: :thumbs_down:,neutral
nueva politica equipajes entrara vigor proximo enero via,neutral
bien solo aprovecha subvenciones luego va piratas,negative
iba dentro trabajando,neutral
reconocera sindicatos pilotos evitar colapso navidad,positive
numero telefonico colombia pueda comunicar no quieren darle solucion t,negative
precios aparecian level operado,neutral
hector deberias demandar profeco hicieron similar aeromexico tra,neutral
oleada huelgas navidades via,neutral
desactivacion ruta barcelona parte aerolineas argentinas beneficiar low cost ll,negative
mejores ofertas empleo it españa endesa mercadona ticbeat recopilado mejores of,neutral
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
hola revista ronda mes diciembre ciudad bilbao protagonista pu,neutral
rt favor pasajeros demora devolucion dinero jodamoslos retuiteem,negative
rumbo palmas gran canaria #subeteporlasparedes,neutral
si unificaba españa portugal pe,negative
grandes ofertas vuelos vueling easyjet #blackfriday,neutral
cliente satisfecho,negative
atencion si viajas navidades huelga personal diciembre,negative
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,positive
desconvocan huelga pilotos irlanda,negative
no envien mensajes texto favor muchas gracias,neutral
matriz british airways quiere subirse bordo aerolinea niki via mkdirecto,neutral
codigos compartidos azores airlines,neutral
comentado dm,neutral
experto tema hice roma barcelona dos veces justo caso perfecto,positive
sorprende ignorancia festejando aumenta frecuencia tratandose ademas,negative
no viajo klm latam realidad pobre :crying_face: :crying_face:,negative
:airplane: ️el personal tierra convocado dias huelga nochebuena diciembre,negative
vivo cerca aicdmx no tan puntuales muchas veces veo llegar airbus muchi,neutral
nota vuelo viajabamos ayer avion iba argentina aterriza tenerif,negative
unica opcion q dais vuelo cancelado vigo bcn mañana horas no debeis reubi,negative
aun esperando respuesta reclamacion van dias indignada,negative
ofrece vuelos baratos black friday,positive
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,neutral
grietas bajo coste parece hace eternidad treinta dos años exactamente amazon,positive
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,neutral
hace años unio madrid barcelona pesetas cuanto costaria hoy billete via,neutral
facilitais certificado motivos cambio vuelo hora perdido supone reunion perdida,negative
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,positive
japon directo vuelo tokyo dias tax incl,neutral
cansado esperar ciudadano polaco residente costa sol malaga hacia vuelo londres malaga,negative
mariano joden viaje españa,negative
# verguenza no escuche ninguna radio mañana tampco ningun noticiero tv menos,negative
drastica decision pasajero cansado esperar,neutral
no referia numero avios sino caducan fecha caducidad estos,negative
nobsaoes aqui,negative
no creo centre volar bcn vit caso vlg,negative
#ideadenegocio aplicacion intercambio asientos vuelos #urgente #dinoaviajarseparados,negative
ojala pagara cada pasajero pregunta donde,neutral
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,positive
gobernador rossello nevares anuncia expansion puerto rico,positive
regalando #note abordo cada pasajero vuelo sido accion brillante marketing #chapeau,positive
si raro subiese chiquitos huevos,negative
favor telefono gratuito llamar oficina madrid gracias,neutral
incidencia pir equipaje dañado da error enlace indican puedo solucionarlo,neutral
buenos dias si pueden averiguar aerolineas perdio ruta barcelona gano lou cost,neutral
pena arruine vuelta casa despues viaje perfecto inolvidable,negative
visita londres dias medio menos buscando nuevo destino,neutral
frena seco crecimiento pasajeros ola cancelaciones diciembre registro menor tasa,negative
santiago posibilidad volar bergamo easyjet,neutral
favor podeis seguir haceros consulta,neutral
nueva politica equipajes entrara vigor proximo enero paso previo tener volar co,negative
asi accidente vuelo spanair letal españa decadas #video,negative
robado united perdido maleta american daño avion,negative
necesito conocer reserva pueden ayudar gracias,neutral
q puedo hacer si queria comprar avion turbulencias no terminaron d pasar quitar señal cerrado carrito,negative
no t caigas q necesito comprar tickets,neutral
hace semana emiti cambio pasaje todavia no enviaron confirmacion podrian darme so,neutral
sevilla plaza espana,neutral
deseo cambiar vuelo celular extranjero no deja llamar manera cambiar vuelo,neutral
comodidad genial servicio bordo excelente cumpliendo horarios comida perfecta realmente,positive
vale voy roma chao,neutral
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,positive
espectacular :thumbs_up: :medium-light_skin_tone: :winking_face: rt ahora termina año echamos vista atras :eyes: acordais como,neutral
enhorabuena buena pinta oficinas colaboradores encantaria pasar saludaros,positive
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
escritura antigua puede estela montoro noticias sinc,neutral
puede ser casualidad accidente dos ineficacia,negative
facturo suerte llegas com vida,negative
acabo dar cuenta no asientos numero,neutral
vende billetes cinco euros jueves via,positive
asi accidente vuelo spanair letal españa decadas video,negative
tan fan vende asientos caben avion,negative
maleta pierde cualquiera atencion cliente pesima dias respuesta,negative
vuelos clase turista premium,positive
pues puto ves mail alguien envi,negative
app aparece plata correo dice breve llegara tarjeta,negative
viajero sale puerta emergencias avion tras aterrizar malaga via,neutral
american airlines intenta evitar cancelacion masiva vuelos,neutral
cede pilotos reconocera sindicatos,neutral
quiero comprar equipaje bodega via web vuelo level sale hs barcelona buenos aires hago,neutral
imposible acabar check in errores zero ayuda plus plata excusas diciendo culpa,negative
vuelo ib quito madrid sentada a vi perfectamente ocasiones azafata organi,neutral
muchas promos solo ahuyentas clientes hacerle frente dificil,negative
retrasa enero cambio politica equipaje mano,neutral
pilotos desconvocan huelga tras ver reconocidos sindicatos,positive
hola no puedo comunicar telefono atencion clientes,negative
caraduras,negative
gracias nuevo da gusto poder dialogar,positive
cancelaron vuelo irlanda aer lingus,negative
hoy cumple aniversario primer vuelo diciembre avion rohrbac,neutral
creo pasajeros bien atendidos pasajeros lleguen equipaje completo aun imp,neutral
pesima aerolinea,negative
rogaria notificarias usuarios mañana #no huelga qu,neutral
problemas hacer check in lineas telefonicas llevan ocupadas m s contando,negative
organizan cata vinos tenerife pies altitud vuelo express,neutral
tarjeta carrefour repsol llevalas movil yudonpay #branded,neutral
heller escribi ayer futbol da bote rebote malas buenas ahora descenso,negative
muchas gracias,positive
hoy hijo años embarque sentado separado padres,negative
celebra aniversario recordando fundador primer presidente getxotarra horacio echevarrieta,neutral
viajando casablanca sala vip t s aeropuerto madrid barajas,positive
gracias recibi cupon,positive
basado emotividad contenido enric pardo director exaprint #publicidad,positive
norwegian desafia billetes menos euros #nuevayork #madrid,positive
exacto sabe asi hace impedirlo solo preguntamos gracias amabilidad,neutral
suma #bigdata fin ofrecer mejores experiencias clientes servicio personaliza,positive
siete horas prat gracias fin embarco segundo avion dia,negative
hola ahi envie dm datos,neutral
busca convertirse amazon viajes oficinas madrid,neutral
empiezo cansada servicio cliente chat no sirve ahora,negative
cuando dais promo eurobasket españa finalmente bronce no llego codigo alguno,negative
no conforma solo vuelos via,neutral
atencion cliente linea aerea risa nro dejan esperando horas oyendo musica,negative
#travelthursday madrid,negative
salvando grandes diferencias air new zelanda codeshare ar ruta c,negative
ve empresa desarticulada incomunicada sectores ineficiente,negative
united airlines aerolineas aumentaron cobros mundo,negative
retrasa enero cambio politica equipaje mano,negative
creo matando pagina aquel marzo,negative
inaugura nuevo espacio premium sentirte reina rey,positive
no paga indemnizaciones corresponden ley,negative
si no viajas,neutral
#holaargentina gusta volar,positive
presente hace dos dias reclamacion correo restaron avios descuento avi,negative
aumentara frecuencia vuelos ruta bogota madrid partir octubre via,positive
bien oye,negative
meses esperando envien factura varios emails llamadas accionar comprueben atencion cliente,negative
alicante :person_raising_hand: :medium-light_skin_tone: :beating_heart: #traveltuesday,negative
hispania incluir portugal mismo territorio,neutral
gracias cuenta mandar paquete japon,positive
pasa aeropuertos no slots solo itinerar,negative
gracias,positive
frente personal tierra amenaza huelga fin año #business,negative
feliz cumpleaños,positive
gracias sabremos si desconvoca no huelga,neutral
usted pago tiquete,neutral
ademas,positive
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
busca convertirse amazon viajes oficinas madrid,positive
air europa lanzado campaña rebajas vuelos europa euros unidos,neutral
#hola argentina,neutral
mira,neutral
ver si aqui llevo dia dia intentando hacer check in pagina web no deja,negative
estimado queremos saber ahora cual dos grandes aerolineas,negative
oscar correa nuevo tecnico angeles,neutral
q buenas salieron manticas d,positive
vuelos euros madrid,positive
listo rt,neutral
ademas chat caso omiso reclamaciones cancelaciones vuelo bajo responsabilidad,negative
bautizara nuevo airbus a nombre ‘santo domingo’ realiza vuelos prueba,positive
nuevo frente abierto personal tierra amenaza huelga final año estan,negative
viajar cosas :face_with_tears_of_joy: :face_with_tears_of_joy: huevos esperar,negative
llegado cartas corregidas increible rapidez profesionalidad felices,positive
si vuelas interesa informacion #huelga,negative
scam bancario aerolinea roban millones euros cuentanoticias zma,neutral
motivos bingo realizando ponce enriquez via encuentra congestionada,neutral
ndc saca pecho mientras ceav pide aplazamiento via,neutral
animo tratar liando huelgas pilotos personal tierra,negative
muchas gracias vuelve funcionar :thumbs_up:,positive
#ts confirma #indemnizacion padres azafata fallecida accidente,negative
noticias karla programa enero,neutral
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,neutral
plaza españa sevilla spain,neutral
hola colombia paises puedes viajar – viajes,neutral
empresa precariza trabajadores administracion gobiernos permitido no olvidemo,negative
jodiendo partir enero no dejara lleves gratis maleta mano,negative
buenos dias compre pasaje ustedese uio mad enviado quisi,neutral
reclame aeropuerto cuento codigo solo pido favor respondan telef,negative
mierda precios premium calidad low cost,negative
cabrones no ocurra olvidaros cartera toda documentacion avion men,negative
vuelo directo barcelona salia,negative
viajeros aprovechad oferta rebuscad seguro encontrais alguna visita pendiente,positive
como arruinar navidad estudihambres europa huelga,negative
deja quejarte gastate dinero,positive
compañias aereas transportes verguenza da igual,negative
enhorabuena comandante piquero toda tripulacion dan bienvenida vuelo iberi,positive
forma ser rentable menos tiempo preembarque significa menos gasto,negative
pasajero cansa esperar decide bajar avion ala,negative
bajarse marcha,negative
inoceeeeente,neutral
vuelo,positive
demoras toda vida aerolineas nadie ayude pasaj,negative
barometro #business vueling compañias aereas utilizadas #viajes,neutral
quiero rembolso billete vuelta utilizar billete enero poder disfrutar año nue,negative
buen vuelo gracias refiero grupos obviamnte no ls pax necesidades especiales,neutral
viajo dentro dos dias no ropa regalos vestido fin año propia maleta siquiera se,negative
plus cumple años queremos celebrarlo contigo manera especial elige numero favorito,neutral
no conforma solo vuelos,neutral
cosas procuro no ir recoger oro,negative
japon directo vuelo tokyo dias tax incl,negative
felicitamos celebra hoy º aniversario inicio vuelos diciembre rohrbac,positive
suerte imagino cara pondria si pasado gente,neutral
norwegian apuesta vuelos largo recorrido eeuu plantando cara level hace madrid,neutral
video reconstruyen tragico accidente spanair ocurrido madrid,positive
gracias atencion podriais facilitar correo electronico comunicaros todas dudas,neutral
vuelo londres praga costo pesos sorprendio bien puntual limpio buena asistencia congrats :clapping_hands: :medium-light_skin_tone:,positive
esperemos lleguen acuerdo aunque curioso siempre aprovechan puente hacer huelga,neutral
tripulantes cabina denuncian fraude low cost,negative
pasajero sale alas avion tras aterrizar malaga via,neutral
año viaje escucho azafata tendinitis servir cafe,neutral
podeis decir quien paga estancia noche despues cancelacion vuela avisando m,negative
podeis ayudar viajo japon madrid no puedo pagar pagina web mejora billete,neutral
felicidades años surcando cielos,positive
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,positive
plus cumple años queremos celebrarlo contigo manera especial elige numero favorito,positive
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,neutral
años,neutral
diitas volver como cancele vuelo voy cabrear grande,negative
nueve compañias cancelan vuelos turquia descenso turismo,negative
sopas iwe chile bs mil mierda maggi gut vzla menos excelentes,negative
inaugura remodelacion sala vip velazquez t madrid renovado sala vip ubicada,positive
excelente vuelo ib mex mad enhorabuena tripulacion personal implicado operacion saludos,positive
feliz navidad algun dia volveran venezuela,neutral
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,neutral
sigue rebajas black friday billetes euros,positive
mirare par dias si no cojo mirado solo ida,negative
saludos jhonatan entregaron maletas,neutral
leyendolo prisa commuting veo anuncio,neutral
spanair quiebra ahi bloqueo pretendia s,negative
imposible contactaros telefono reservado vuelo quitan puntos cargan,negative
mañana viene chica visitar pensaba llegaba resulta llega mañana cago,negative
igualmente :red_heart: ️ :red_heart: ️,positive
entonces hacemos check in online aceptar cualquier asiento,negative
vez lavan manos sucesos aun papeles demuestran,negative
claro dicho caso entendido haberme notificado q,negative
plus cumple años queremos celebrarlo contigo manera especial elige numero favorito,positive
bueno puntualidad no coña casi siempre voy,positive
pagina web agencia,neutral
llevo dias maleta no podido decir donde #iberiaesunasco puedo hacer recuperarla,negative
hola nuevo :face_with_tears_of_joy: queria preguntar pagina web salen ofertas dia,neutral
primera foto aviacion año boeing as supuesto :airplane: ️,neutral
invitan probar aviones europa,neutral
correcto paga f n no,neutral
incorpora app descuento residente familia numerosa,positive
si partir ahora cobra meter maletas mano,negative
poniendo nervios,negative
lanza nueva ruta republica checa #elaltet via,positive
maraton,neutral
clientela pasta ganais clientes parece cutre solo,positive
hola no funciona pagina pudo entrar plus informen favor,negative
apetezca poneis vuelos directos galicia andalucia calma eh,negative
celebra quinto aniversario oferta plazas euros via,neutral
express celebra quinto aniversario oferta plazas euros,positive
compre billetes malaga express ahora quiero añadir equipaje donde hace,neutral
vueling compañias vuelos retrasados aeropuertos españoles,negative
billetes misma personas vuelo dos maletas cancelais cobrais maleta extra ole chollazo eh,negative
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,positive
no hace falta recordar ar privatizada llevaban aviones nuevos traian descarte,negative
no entiendo :confused_face:,negative
ahhh voy madrid euros viva,positive
ahorita andan compitiendo :grinning_squinting_face:,negative
segundo flaquito dice hola publicidad parte sorry tenia q decir :smiling_face_with_halo:,negative
creadores biletes ave pavos vuelos euro llega #honorcrazyday #horrorcrazyday,positive
express lanza promocion billetes euros #felipemonterord,positive
asi accidente vuelo spanair letal españa decadas video,neutral
supremo confirma indemnizacion padres azafata spanair via,negative
reaccion mal alla,negative
loginewses finaliza acuerdo distribucion gds amadeus,neutral
viajo valecia melilla transbordo madrid no llega maleta facturada siempre si no,negative
enhorabuena disponible vuelos nacionales internacionales,positive
sipcam presenta epik :registered: control plagas olivar encuentro internacional phytoma olivar,neutral
consejo vete verle puente aereo poder ser,negative
aparentemente habitual llamar conseguir informacion cor,negative
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,neutral
intentamos traves,neutral
pues conseguido dos vuelos precio chollo gracias desastre vez inc,positive
destino solo click deseame suerte #holacolombia hola destinos europeos mejor precio,neutral
consulta lista vuelos cancelados,negative
año lio vacaciones pilotos,negative
finalmente pude hacerlo dificil adivinar digitos ticket habia poner cod,negative
horror,negative
gana plata aerolineas pierde plata,neutral
asi trabaja aerolinea ejemplo operadores oficialistas pagarse uniforme,negative
españa compañia realiza primer vuelo comercial parte aerodromo carabanchel destino barcelona,neutral
no no puntuales ayer detallazo dejarnos directo s pasaj,positive
pues si viajo no caben,neutral
solicitud avios numero vuelo miami madrid codigo compartido operado ameri,neutral
digas hace vuelo transoceanico horas no p,negative
vinos sol,negative
vista alpes cortesia,positive
envia ofertas :airplane_departure: londres cuenta fotos londinenses pide amistad señal q t,neutral
cosep vuelos promocionaran turismo inversion europa,neutral
hijos puta,negative
revisar si aplica nueva ley aerolineas mexico brinda reembolsos incumplimiento servicio,neutral
pasajero harto esperar sale puerta emergencia avion #video,negative
pillarme mochila cosas esenciales aprovechar alguna oferta,neutral
vuelo manchester new york vuelta aseguraron reaseguraron insistimos,negative
lanza oferta fin semana vuelos indepes bruselas solo viaje ida #catalunya,neutral
before flying ba rt share favor pasajeros demor,negative
currar alemañia capitalismo movemos,neutral
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
hola cuanto cuesta exceso equipaje vzla,neutral
invertir utiles primer necesidad saber cuando reembolsan minimo semanas,negative
tarjeta plata compañia da derecha llevar bulto bodega tipo billete adquirido gracias,neutral
vola agarre huracan quieran cobrar cambio fecha manera arbitraria,negative
asi accidente vuelo spanair letal españa decadas #video,negative
si pilotos vuelos internacionales no alcanza mil dolares mes q vayan trabajar lufthansa etc,negative
abrir unica conexion #vll #svq acceso transporte publico #aeropuertova no coincida n,negative
vuelos internacionales calamidad,negative
preciosa foto mada recuerda tiempos spanair md :smiling_face_with_heart-eyes: :airplane: ️ :smiling_face_with_heart-eyes:,positive
retrasa enero cambio politica equipaje mano,negative
amigos no sola tb planificado mal descansos d vuelos piloto diciembre,negative
seguimos esperando amigos digan pasa vuelo llevamos hora senta,negative
diez dias maleta sigue aparecer respuesta empresa decian,negative
#mis mejorescosasde comprar movil roben horas despues cobre euros p,negative
rt lasmansiones fundador rebaja precio mansion millones dolares,neutral
martes solicite factura vuelo hoy dia sigo quizas pierda reembolso vuelo parece normal :thinking_face: :pouting_face:,negative
sirve tener prioridad embarque si dais ultimo asiento er vuelo conexion casi pierdo segundo shame,negative
matriz british airways quiere subirse bordo aerolinea niki,neutral
portadores icon mismos privilegios miembro ib plus plata,neutral
scary tripulacion acaba echar avion mujer servicio tierra,neutral
aumentara numero vuelos san juan comillas,negative
estanca españa estanca españa — independiente indpcom,neutral
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,neutral
consultar dudas solucionar gestiones traves #dm convertido costumbre rapidos ef,positive
hola web rechaza todas tarjetas realizar pago vuelos indica q pais emisor no,negative
sala renovada bonita moderna funcional sala vip velazquez in madrid,negative
voy dublin,neutral
motivos no deberias volar,negative
si correcto ahora mando md gracias,positive
hecho gracias igualmente :smiling_face_with_open_hands:,positive
lt cara chico corbata dice lt,positive
intento introducir datos busqueda sale desinstaladlo vuelto ins,negative
loteria looooteriiiiiaaaa compra loteria dale capricho novia salao cigarrito electronico,neutral
alberto perdio valija #testimonios :backhand_index_pointing_down: :light_skin_tone:,negative
cervantes totana rueda fuego descubrieron mula submarino heli,negative
queria agradecer publicamente finalmente recuperasemos iphone olvidamos revistero vu,positive
foto ayer barajas a tomando tierra r,negative
madrid avion comunidad madrid amplisima oferta turistica disfrutala bienvenidos,neutral
no dejen hacer check in vuelo facturando comprueban va lleno iba,negative
#argentina mercado #americalatina oferta llegar tres frecuencias adiciona,positive
ayer llame dijeron largo dia respuesta semana no dado respuesta pesimo servicio,negative
chiste vuelvo volar personal goserisimo nefasto,negative
hace media hora dentro lufthansa sitio correspondia,positive
hola hace casi dias perdieron maleta ayer recibi mensaje diciendo localizado,negative
descubre shanghai vuelo directo dias tax includ,positive
unica aerolinea no low cost no hace :thumbs_down: resto,negative
motivo retraso avion llegada tarde flipan humoristas redactan disculpas megafonia,negative
marta rios direccion marketing direccion general adidas,neutral
asi accidente vuelo spanair letal españa decadas #video,negative
dejado familiar madrid venia ib habana lpa gran canaria retraso p,negative
hola acabo hacer check in vuelo hacia sudamerica momento imprimirlo doy cuent,neutral
hola pregunta si compro billete madrid caracas marzo luego quiero cambiar ab,neutral
emanuela pablo capitulo,neutral
asi accidente vuelo spanair letal españa decadas video,neutral
corre ser puntual deja maletas cientos maletas perdidas,negative
sumo quejas mucha mejor publicidad impactante si subido,negative
hola problema pagina joven enviado privado gracias :airplane: ️,neutral
director coca cola asegura solo cinco personas conocen ingrediente secreto,neutral
demuestro vendiais mientras españoles cenar dormir,negative
buenos dias mañana listo aqui vamos vez paseis buen fin semana #nosvemosinthesky,positive
vaya tela viento asturias bcn despego movidito :face_screaming_in_fear: :face_screaming_in_fear:,neutral
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
respira tranquilo,negative
plus cumple años queremos celebrarlo contigo manera especial elige numero favorito,positive
no idea stress supone empezar viaje sabiendo ir perdido todas conexiones,negative
mueve bastante cinturones baño avion,negative
sergio lorca ceo zenithoptimedia latam hablando futuro publicidad,positive
llamada ir oficinas aeropuerto ninguna solucion unica comprar billete m,negative
#holacolombia holiii,positive
podcast formato alza sabe aqui ficcion sonora guion,neutral
tal dia hoy partian vuelo responsables instalacion ser,neutral
trabajar #tma #empleo,neutral
sabe usar papel publicidad creativa,positive
aerolineas van hacer q da gana usuarios,negative
vi chek in da opciones vueling club aer club avios travel reward programme puedo an,neutral
bien bueno fortuna q q pagar gracias kicilof q,negative
terrible servicio cliente no solo cambian horario vuelo sino solucion problema horas escala,negative
sindicatos europeos instan jugar limpio trabajadores,neutral
continuo maletas zurich ayer nadie molesta entregarla,negative
personal tierra españa convoca huelga proximo dia diciembre,neutral
dais puto asco ostias meteis :pouting_face: :pouting_face:,negative
entoces dais prioridad llegan ultimos cumple entonces ultimos seran primeros,negative
mejores ofertas empleo it españa endesa mercadona,negative
q salen precios diferentes q publican cuanto tiempo anticipacion deberia gestionar compra p hacerlo oficina,neutral
aumentara vuelos semanales ruta buenos aires madrid #notextanddrive,neutral
empiezan joderos aguantad recibe ordenes asco gente,negative
cambio asiento gratis pasajeros priority,negative
vale sentirlo unico importa dinero putos ruines asique facil joderos ahi m,negative
express rebaja cinco euros billetes viajar final mayo,negative
descubre shanghai vuelo directo dias tax includ,positive
retrasa enero cambio politica equipaje mano,negative
normal devolver dinero servicio no recibido caso wifi vuelos simple,negative
realmente sugerencia podria aplicarse cualquier compañia personas lentas colocand,negative
gente conozco coger avion dar concierto,neutral
tripulacion vuelo #mad #mex atrapados aeropuerto queretaro,negative
acaba llegar oferta trabajar,neutral
fin hablan valdivia hora preocupados nota chaque,negative
peso geopolitica peninsula expresion principio modulado segun epocas,positive
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
conectara valencia bristol alicante pardubice partir marzo,neutral
piloto triunfa dijo llegar vigo,neutral
si va equipaje joder humanidad no fallo x trabajo falta empatia,positive
airnostrum firman #cantabria aumentar frecuencia horarios #santander #madrid retomar,neutral
gracias patrocinadores hacer posible #premioscepyme recoger premio cepyme bancosantander,neutral
cena navidad regalos nadie gracias arruinar navidad #nonavidad #iberiaarruinandominavidad,negative
necesito equipaje llegue aeropuerto ciudad posible acaban comunicar,negative
sabia banking librea queda bonita,neutral
mejor,positive
validado solo recorriste parte ruta ultimo trayecto oper,negative
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,neutral
share rt cobran instantaneamente ventas devolver dinero mal cobrado tarda,negative
si comunicado sido desagradables echandole culpa british airways poniendo escusa,negative
dia viaje efectivo :face_with_monocle: lupa,neutral
majos lxs cm s,negative
reconocera sindicatos cambio historico parar huelga,positive
haz equipaje vas viajar pronto,neutral
equipaje mano tranquilo dado solucion cobrar llevar equipaje cabina,negative
nuevo impulso aeropuerto vitoria gasteiz estrena nueva ruta colonia martes noche estrena enlace,negative
hola faltan avios recibir ultimos viajes cambio pin podeis ayudarme gracias,neutral
sales avion,neutral
intenten venderme loteria express meto,negative
asi accidente vuelo spanair letal españa decadas video,negative
recordamos despotrique dia posiblemente española hoy dia comp,positive
paso tiempo analisis reclamacion realice indemnizacion overbooked,negative
diferencia express xq hoy black friday,neutral
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,negative
desempeño debil ruta siendo aerolineas mejor precio pasajes claro otr,positive
hola necesito ayuda no deja agregar reserva cuenta plus puedo ver app no pagina web,negative
asi accidente vuelo spanair letal españa decadas video,neutral
no vuelva viajar aerolinea superman,negative
algun caso nov barriga fra mad feb mad fra gracias,positive
cada vez miro vuelos prefiero caro volar v,negative
vuelo ibz pmi momentos,positive
ganas probar vuelos intercontinentales mientras decir #qatar airways diferencia,positive
atencion cliente operador s telefonia hace hace años entera resuelves problema,negative
atrasados,negative
pilotos ganan acepta existe representacion laboral,negative
